        <idle>-0       [019] ..s21  2787.815513: bpf_trace_printk: throughput: 38638 (pps)
    ksoftirqd/19-132     [019] ..s11  2788.815287: bpf_trace_printk: throughput: 745338 (pps)
    ksoftirqd/19-132     [019] ..s11  2789.815271: bpf_trace_printk: throughput: 746325 (pps)
    ksoftirqd/19-132     [019] ..s11  2790.815254: bpf_trace_printk: throughput: 745868 (pps)
    ksoftirqd/19-132     [019] ..s11  2791.815242: bpf_trace_printk: throughput: 746443 (pps)
    ksoftirqd/19-132     [019] ..s11  2792.815221: bpf_trace_printk: throughput: 746469 (pps)
    ksoftirqd/19-132     [019] ..s11  2793.815210: bpf_trace_printk: throughput: 747570 (pps)
    ksoftirqd/19-132     [019] ..s11  2794.815189: bpf_trace_printk: throughput: 744166 (pps)
    ksoftirqd/19-132     [019] ..s11  2795.815174: bpf_trace_printk: throughput: 744623 (pps)
    ksoftirqd/19-132     [019] ..s11  2796.815157: bpf_trace_printk: throughput: 743220 (pps)
    ksoftirqd/19-132     [019] ..s11  2797.815141: bpf_trace_printk: throughput: 745488 (pps)
    ksoftirqd/19-132     [019] ..s11  2798.815126: bpf_trace_printk: throughput: 745050 (pps)
    ksoftirqd/19-132     [019] ..s11  2799.815112: bpf_trace_printk: throughput: 739595 (pps)
    ksoftirqd/19-132     [019] ..s11  2800.815094: bpf_trace_printk: throughput: 745832 (pps)
    ksoftirqd/19-132     [019] ..s11  2801.815080: bpf_trace_printk: throughput: 745665 (pps)
    ksoftirqd/19-132     [019] ..s11  2802.815064: bpf_trace_printk: throughput: 744607 (pps)
    ksoftirqd/19-132     [019] ..s11  2803.815049: bpf_trace_printk: throughput: 745662 (pps)
    ksoftirqd/19-132     [019] ..s11  2804.815029: bpf_trace_printk: throughput: 744522 (pps)
    ksoftirqd/19-132     [019] ..s11  2805.815015: bpf_trace_printk: throughput: 746101 (pps)
    ksoftirqd/19-132     [019] ..s11  2806.814997: bpf_trace_printk: throughput: 746019 (pps)
    ksoftirqd/19-132     [019] ..s11  2807.814981: bpf_trace_printk: throughput: 745505 (pps)
    ksoftirqd/19-132     [019] ..s11  2808.814965: bpf_trace_printk: throughput: 747452 (pps)
    ksoftirqd/19-132     [019] ..s11  2809.814951: bpf_trace_printk: throughput: 746573 (pps)
    ksoftirqd/19-132     [019] ..s11  2810.814934: bpf_trace_printk: throughput: 743139 (pps)
    ksoftirqd/19-132     [019] ..s11  2811.814919: bpf_trace_printk: throughput: 744482 (pps)
    ksoftirqd/19-132     [019] ..s11  2812.814902: bpf_trace_printk: throughput: 745484 (pps)
    ksoftirqd/19-132     [019] ..s11  2813.814886: bpf_trace_printk: throughput: 743187 (pps)
    ksoftirqd/19-132     [019] ..s11  2814.814871: bpf_trace_printk: throughput: 745159 (pps)
    ksoftirqd/19-132     [019] ..s11  2815.814853: bpf_trace_printk: throughput: 743675 (pps)
    ksoftirqd/19-132     [019] ..s11  2816.814840: bpf_trace_printk: throughput: 743752 (pps)
    ksoftirqd/19-132     [019] ..s11  2817.814823: bpf_trace_printk: throughput: 744741 (pps)

