          <idle>-0       [019] ..s2. 1803150.481738: bpf_trace_printk: throughput: 12128514 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803151.481722: bpf_trace_printk: throughput: 12548453 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803152.481708: bpf_trace_printk: throughput: 13634117 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803153.481694: bpf_trace_printk: throughput: 13571822 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803154.481679: bpf_trace_printk: throughput: 13649511 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803155.481665: bpf_trace_printk: throughput: 13642886 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803156.481650: bpf_trace_printk: throughput: 13658347 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803157.481635: bpf_trace_printk: throughput: 13685007 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803158.481622: bpf_trace_printk: throughput: 13684480 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803159.481607: bpf_trace_printk: throughput: 13739808 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803160.481593: bpf_trace_printk: throughput: 13737824 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803161.481578: bpf_trace_printk: throughput: 13730242 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803162.481564: bpf_trace_printk: throughput: 13617560 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803163.481550: bpf_trace_printk: throughput: 13620436 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803164.481538: bpf_trace_printk: throughput: 13613696 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803165.481521: bpf_trace_printk: throughput: 13613671 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803166.481506: bpf_trace_printk: throughput: 13609939 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803167.481492: bpf_trace_printk: throughput: 13680749 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803168.481478: bpf_trace_printk: throughput: 13670198 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803169.481464: bpf_trace_printk: throughput: 13601245 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803170.481450: bpf_trace_printk: throughput: 13606307 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803171.481435: bpf_trace_printk: throughput: 13607690 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803172.481422: bpf_trace_printk: throughput: 13602550 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803173.481408: bpf_trace_printk: throughput: 13631616 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803174.481392: bpf_trace_printk: throughput: 13614754 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803175.481378: bpf_trace_printk: throughput: 13632847 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803176.481362: bpf_trace_printk: throughput: 13640623 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803177.481349: bpf_trace_printk: throughput: 13670011 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803178.481336: bpf_trace_printk: throughput: 13718618 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803179.481321: bpf_trace_printk: throughput: 13714176 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803180.481307: bpf_trace_printk: throughput: 13710080 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803181.481292: bpf_trace_printk: throughput: 13699314 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803182.481279: bpf_trace_printk: throughput: 13706766 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803183.481263: bpf_trace_printk: throughput: 13707568 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803184.481249: bpf_trace_printk: throughput: 13704875 (pps)
