Number of samples: 136
xdp: 20404     socket: 83580
xdp: 10492     socket: 21665
xdp: 5866     socket: 24388
xdp: 12606     socket: 22229
xdp: 7829     socket: 19486
xdp: 7625     socket: 24001
xdp: 5731     socket: 14738
xdp: 13837     socket: 30228
xdp: 8596     socket: 25726
xdp: 8557     socket: 18073
xdp: 7800     socket: 19660
xdp: 10996     socket: 27795
xdp: 5932     socket: 24537
xdp: 11563     socket: 30112
xdp: 12899     socket: 18645
xdp: 7009     socket: 18367
xdp: 1898     socket: 17361
xdp: 6635     socket: 15577
xdp: 5312     socket: 16762
xdp: 5093     socket: 18585
xdp: 3919     socket: 12312
xdp: 5948     socket: 19994
xdp: 9494     socket: 26686
xdp: 8485     socket: 11896
xdp: 9678     socket: 25975
xdp: 1470     socket: 15164
xdp: 11304     socket: 22858
xdp: 12874     socket: 26433
xdp: 7863     socket: 24409
xdp: 10064     socket: 18207
xdp: 13764     socket: 23739
xdp: 9699     socket: 28840
xdp: 10158     socket: 15562
xdp: 8786     socket: 16338
xdp: 11276     socket: 21719
xdp: 13792     socket: 27383
xdp: 3659     socket: 18388
xdp: 12259     socket: 22299
xdp: 11873     socket: 24617
xdp: 9339     socket: 25634
xdp: 11337     socket: 18870
xdp: 13599     socket: 24243
xdp: 2725     socket: 14488
xdp: 6171     socket: 20486
xdp: 6248     socket: 20858
xdp: 4946     socket: 22215
xdp: 12079     socket: 31078
xdp: 1338     socket: 21905
xdp: 6079     socket: 12370
xdp: 9071     socket: 19496
xdp: 1546     socket: 9276
xdp: 5514     socket: 16814
xdp: 9673     socket: 23609
xdp: 4099     socket: 15090
xdp: 3695     socket: 17007
xdp: 9581     socket: 24678
xdp: 7238     socket: 26167
xdp: 11090     socket: 16817
xdp: 14247     socket: 24405
xdp: 2785     socket: 14020
xdp: 9479     socket: 23504
xdp: 14007     socket: 31148
xdp: 1232     socket: 19700
xdp: 7201     socket: 27863
xdp: 7190     socket: 24146
xdp: 5712     socket: 9111
xdp: 4920     socket: 14577
xdp: 8200     socket: 21007
xdp: 11815     socket: 28116
xdp: 1184     socket: 18947
xdp: 2031     socket: 7935
xdp: 10050     socket: 27304
xdp: 16032     socket: 33530
xdp: 5711     socket: 24632
xdp: 10415     socket: 15495
xdp: 1440     socket: 4994
xdp: 4881     socket: 23319
xdp: 8562     socket: 13676
xdp: 11627     socket: 31808
xdp: 10548     socket: 17394
xdp: 8108     socket: 18482
xdp: 12488     socket: 26298
xdp: 1396     socket: 16622
xdp: 6278     socket: 24214
xdp: 9336     socket: 13928
xdp: 14208     socket: 22694
xdp: 4272     socket: 14127
xdp: 8913     socket: 22370
xdp: 11826     socket: 29017
xdp: 3065     socket: 21395
xdp: 8521     socket: 12949
xdp: 11752     socket: 31273
xdp: 1095     socket: 22105
xdp: 4335     socket: 21004
xdp: 2834     socket: 10611
xdp: 2560     socket: 14959
xdp: 6153     socket: 21280
xdp: 8530     socket: 27715
xdp: 14317     socket: 20500
xdp: 3644     socket: 11254
xdp: 8218     socket: 19087
xdp: 1509     socket: 9720
xdp: 3667     socket: 15147
xdp: 9128     socket: 23962
xdp: 1712     socket: 13490
xdp: 4917     socket: 20258
xdp: 7870     socket: 15260
xdp: 12884     socket: 23476
xdp: 1633     socket: 13444
xdp: 4250     socket: 18464
xdp: 5437     socket: 22886
xdp: 11054     socket: 15214
xdp: 11723     socket: 27839
xdp: 15541     socket: 22838
xdp: 9532     socket: 25012
xdp: 12135     socket: 30481
xdp: 2901     socket: 22880
xdp: 7844     socket: 13671
xdp: 11455     socket: 21254
xdp: 1066     socket: 11914
xdp: 5052     socket: 18465
xdp: 10673     socket: 26727
xdp: 14974     socket: 34155
xdp: 5334     socket: 25826
xdp: 10917     socket: 17123
xdp: 13031     socket: 22800
xdp: 4072     socket: 14922
xdp: 8094     socket: 64922
xdp: 46287     socket: 58517
xdp: 34845     socket: 48320
xdp: 25919     socket: 40554
xdp: 15239     socket: 31300
xdp: 4659     socket: 22288
xdp: 10885     socket: 29291
xdp: 1679     socket: 21242
xdp: 6103     socket: 11437
