tc: 7549    socket: 57508
tc: 4326    socket: 19641
tc: 5754    socket: 17715
tc: 5781    socket: 18249
tc: 9237    socket: 18821
tc: 9580    socket: 19563
tc: 5466    socket: 18440
tc: 12346    socket: 27953
tc: 8428    socket: 16406
tc: 9903    socket: 22125
tc: 12831    socket: 30676
tc: 5478    socket: 18384
tc: 5882    socket: 25723
tc: 12690    socket: 31297
tc: 4092    socket: 22827
tc: 9096    socket: 23075
tc: 14742    socket: 31271
tc: 13967    socket: 25469
tc: 10026    socket: 27659
tc: 5961    socket: 23656
tc: 5500    socket: 22012
tc: 5714    socket: 21947
tc: 7701    socket: 20638
tc: 12951    socket: 23219
tc: 11334    socket: 22431
tc: 2855    socket: 13715
tc: 9161    socket: 26017
tc: 5834    socket: 19337
tc: 7876    socket: 15795
tc: 12900    socket: 31093
tc: 13897    socket: 25750
tc: 11825    socket: 31160
tc: 8799    socket: 26203
tc: 6334    socket: 23543
tc: 9429    socket: 21042
tc: 8313    socket: 20114
tc: 6713    socket: 19481
tc: 4082    socket: 17838
tc: 3574    socket: 19419
tc: 13225    socket: 31365
tc: 8570    socket: 18838
tc: 6872    socket: 24358
tc: 12174    socket: 23305
tc: 14075    socket: 27386
tc: 4300    socket: 14063
tc: 4367    socket: 14790
tc: 12087    socket: 29062
tc: 4199    socket: 20638
tc: 12216    socket: 29222
tc: 10287    socket: 24612
tc: 5481    socket: 24055
tc: 12700    socket: 24110
tc: 9890    socket: 26786
tc: 3704    socket: 16109
tc: 8943    socket: 21933
tc: 11777    socket: 28545
tc: 6972    socket: 20459
tc: 6392    socket: 16372
tc: 11252    socket: 24270
tc: 10582    socket: 25661
tc: 9399    socket: 18904
tc: 9110    socket: 25699
tc: 13927    socket: 31901
tc: 13215    socket: 30127
tc: 12030    socket: 21727
tc: 12980    socket: 26989
tc: 3859    socket: 22349
tc: 12075    socket: 23085
tc: 11627    socket: 30078
tc: 10367    socket: 24553
tc: 5337    socket: 22213
tc: 10555    socket: 23542
tc: 4705    socket: 21393
tc: 6761    socket: 25050
tc: 6796    socket: 12069
tc: 12882    socket: 24410
tc: 12159    socket: 26245
tc: 6212    socket: 19460
tc: 6230    socket: 22383
tc: 7987    socket: 15744
tc: 5076    socket: 25662
tc: 5726    socket: 12713
tc: 3189    socket: 16003
tc: 7928    socket: 22819
tc: 5271    socket: 12166
tc: 11982    socket: 21391
tc: 13547    socket: 25403
tc: 6299    socket: 16144
tc: 5681    socket: 18115
tc: 4518    socket: 20032
tc: 15331    socket: 24975
tc: 3108    socket: 14446
tc: 11591    socket: 21885
tc: 11138    socket: 24122
tc: 4464    socket: 19250
tc: 7898    socket: 25892
tc: 9266    socket: 14197
tc: 14833    socket: 32971
tc: 6924    socket: 25174
tc: 6322    socket: 11186
tc: 5606    socket: 24555
tc: 9609    socket: 15105
tc: 8868    socket: 17681
tc: 18272    socket: 27113
tc: 6423    socket: 17072
tc: 10757    socket: 23077
tc: 6883    socket: 17651
tc: 2224    socket: 10496
tc: 4941    socket: 17879
tc: 8087    socket: 24368
tc: 12595    socket: 20227
tc: 1853    socket: 10931
tc: 4620    socket: 15800
tc: 10014    socket: 24059
tc: 13845    socket: 31998
tc: 14914    socket: 19741
tc: 9061    socket: 31081
tc: 12304    socket: 17769
tc: 4302    socket: 20393
tc: 8031    socket: 10821
tc: 10111    socket: 27345
tc: 13268    socket: 16759
tc: 3830    socket: 9144
tc: 7944    socket: 16188
tc: 11620    socket: 23845
tc: 11523    socket: 26923
tc: 15073    socket: 32591
tc: 3895    socket: 22797
tc: 7497    socket: 22501
tc: 7818    socket: 24922
tc: 13448    socket: 32443
tc: 2124    socket: 23264
tc: 6218    socket: 13464
tc: 8212    socket: 19378
tc: 13935    socket: 28230
tc: 3255    socket: 19071
tc: 8042    socket: 15661
tc: 8859    socket: 19288
tc: 9587    socket: 22808
